# This MVPS HOSTS file is a free download from:           #
# http://www.mvps.org/winhelp2002/                        #
#                                                         #
# Notes: the browser does not read this "#" symbol        #
# You can create your own notes, after the # symbol       #
# This *must* be the first line: 127.0.0.1     localhost  #
# ********************************************************#
# ------------------Updated: 04-15-05---------------------#
# ********************************************************#
# Entries marked with Parasite or Trojan comments should  #
# be placed in the Internet Explorer Restricted Zone.     #
# http://mvps.org/winhelp2002/restricted.htm              #
#                                                         #
# Entries with other comments are searchable via Google.  #
#                                                         #
# Disclaimer: this file is free to use, however it is NOT #
# permitted to post on any other site without permission. #
#                                                         #
# This work is licensed under the Creative Commons        #
# Attribution-NonCommercial-ShareAlike License.           #
# http://creativecommons.org/licenses/by-nc-sa/2.0/       #

127.0.0.1  img.peopleonpage.com
127.0.0.1  srv.peopleonpage.com #[Spyware.Apropos.B]
127.0.0.1  www.peopleonpage.com #[Apropos.bho][PeopleOnPage.Apropos]
# [aQuantive Inc][Avenue A][IE-SpyAd]
127.0.0.1  www.avenuea.com
127.0.0.1  www.atdmt.com
127.0.0.1  click.atdmt.com
127.0.0.1  clk.atdmt.com
127.0.0.1  spd.atdmt.com
127.0.0.1  spe.atdmt.com
127.0.0.1  switch.atdmt.com
127.0.0.1  view.atdmt.com
127.0.0.1  atlasdmt.com
127.0.0.1  www.atlasdmt.com
127.0.0.1  www.avenueainc.com
127.0.0.1  track.roiservice.com
# [Avenue Media]
127.0.0.1  active-alert-server.com
127.0.0.1  www.active-alert-server.com #[IE-SpyAd]
127.0.0.1  amnv.net
127.0.0.1  www.amnv.net
127.0.0.1  avenuemedia.com
127.0.0.1  www.avenuemedia.com
127.0.0.1  climaxbucks.com #[ClimaxBucks.InternetOptimizer]
127.0.0.1  cdn.climaxbucks.com
127.0.0.1  mt1.climaxbucks.com
127.0.0.1  mt23.climaxbucks.com
127.0.0.1  xbs.climaxbucks.com
127.0.0.1  www.climaxbucks.com
127.0.0.1  xbs.cocktailcash.com
127.0.0.1  cocktailcash.com
127.0.0.1  www.cocktailcash.com
127.0.0.1  internet-optimizer.com #[Downloader.Dyfcia.F]
127.0.0.1  ads.internet-optimizer.com #[Parasite.Internet Optimizer]
127.0.0.1  configure.internet-optimizer.com
127.0.0.1  help.internet-optimizer.com
127.0.0.1  www.internet-optimizer.com #[Adware.NetOptimizer]
127.0.0.1  www.lunasearch.com
127.0.0.1  movies-etc.com
127.0.0.1  cdn.movies-etc.com
127.0.0.1  www.movies-etc.com
127.0.0.1  yoogee.com #[Parasite.Internet Optimizer]
127.0.0.1  www.yoogee.com
# [Azoogle.com INC][Impulse Leads][IE-SpyAd]
127.0.0.1  i.1100i.com
127.0.0.1  images.1100i.com
127.0.0.1  www.adroz.com #[affiliate][AIM Smileys]
127.0.0.1  c.azjmp.com
127.0.0.1  www.azjmp.com
127.0.0.1  images.azoogleads.com
127.0.0.1  images.azooimages.com
127.0.0.1  www.azoogleads.com
127.0.0.1  www.giftfox.com
127.0.0.1  images.hostimages.net
127.0.0.1  images.imagesbyaz.com
127.0.0.1  images.imgehost.com
127.0.0.1  impulseleads.com
127.0.0.1  www.impulseleads.com
127.0.0.1  images.imgserver.net
127.0.0.1  noadware.biz
127.0.0.1  www.noadware.biz
127.0.0.1  1.primaryads.com
127.0.0.1  c.qckjmp.com
# [Aztec Marketing][West Frontier Holdings][Offshorefleet Holdings S.A]
127.0.0.1  google.begin2search.com
127.0.0.1  toolbar.begin2search.com
127.0.0.1  www.begin2search.com #[Adware.Begin2search][iiittt Class]
127.0.0.1  click2findnow.com
127.0.0.1  www.click2findnow.com
127.0.0.1  desktoptraffic.net
127.0.0.1  toolbar.desktoptraffic.net
127.0.0.1  popupsearches.com
127.0.0.1  www2.popupsearches.com
127.0.0.1  www.popupsearches.com
127.0.0.1  trafficgeneration.biz
127.0.0.1  toolbar.trafficgeneration.biz
127.0.0.1  toolbar2.trafficgeneration.biz
127.0.0.1  toolbar3.trafficgeneration.biz
127.0.0.1  www.trafficgeneration.biz
# [Actif Oiseau Alerte S.A.]
127.0.0.1  www.eaffiliateinc.com
127.0.0.1  globalwebsearch.com #[Parasite.ILookup]
127.0.0.1  toolbar.globalwebsearch.com #[I-Lookup.GWS]
127.0.0.1  toolbar2.globalwebsearch.com #[iiittt Class]
127.0.0.1  www.globalwebsearch.com #[Adware.ILookup]
127.0.0.1  hotwebsearch.com
127.0.0.1  www.hotwebsearch.com
127.0.0.1  vroomsearch.com
127.0.0.1  www.vroomsearch.com
127.0.0.1  worldanywhere.com
127.0.0.1  toolbar.worldanywhere.com
127.0.0.1  www.worldanywhere.com
# [ADP Micro]
127.0.0.1  www.alarm-works.com #[MHTMLRedir.Exploit]
127.0.0.1  www.beachtrash.com #[MHTMLRedir.Exploit]
# [Belcaro Group]
127.0.0.1  1cat.com
127.0.0.1  i.1cat.com
127.0.0.1  www.1cat.com
127.0.0.1  gr3.cc #[IE-SpyAd]
127.0.0.1  selectbonus.com
127.0.0.1  www.selectbonus.com
127.0.0.1  www.shopathome.com
127.0.0.1  shopathomeselect.com #[Parasite.ShopAtHomeSelect]
127.0.0.1  download1.shopathomeselect.com #[ADW_SAHAGENT.A]
127.0.0.1  downloads.shopathomeselect.com
127.0.0.1  download21.shopathomeselect.com
127.0.0.1  www.shopathomeselect.com #[Adware.SAHAgent]
# [Bell Globemedia Interactive Inc]
127.0.0.1  adcounter.theglobeandmail.com
127.0.0.1  adrates.theglobeandmail.com
127.0.0.1  ads.globeandmail.com
127.0.0.1  ads1.theglobeandmail.com
127.0.0.1  visit.theglobeandmail.com
127.0.0.1  www1.theglobeandmail.com
# [BLOKE.COM][IE-SpyAd]
127.0.0.1  adbot.com
127.0.0.1  w1.adbot.com
127.0.0.1  www.adbot.com
127.0.0.1  counter.bloke.com
127.0.0.1  www1.counter.bloke.com
127.0.0.1  www3.counter.bloke.com
127.0.0.1  www4.counter.bloke.com
127.0.0.1  www5.counter.bloke.com
127.0.0.1  www6.counter.bloke.com
127.0.0.1  www7.counter.bloke.com
127.0.0.1  counterbot.com
127.0.0.1  cb1.counterbot.com
# [Bluestreak][Tracking Service][IE-SpyAd]
127.0.0.1  ak.bluestreak.com
127.0.0.1  ca1.bluestreak.com
127.0.0.1  s0.bluestreak.com
127.0.0.1  s0b.bluestreak.com
127.0.0.1  s1.bluestreak.com
127.0.0.1  s2.bluestreak.com
127.0.0.1  s3.bluestreak.com
127.0.0.1  s4.bluestreak.com
127.0.0.1  s5.bluestreak.com
127.0.0.1  s6.bluestreak.com
127.0.0.1  s7.bluestreak.com
127.0.0.1  s8.bluestreak.com
127.0.0.1  www.bluestreak.com
# [Bobi Net][Parasite.WebDir]
127.0.0.1  secure.certone.com
127.0.0.1  dcplusplus.info
127.0.0.1  www.filefront.net
127.0.0.1  www.gizmoyo.com #[IE-SpyAd]
127.0.0.1  www.torrentsearcher.net
127.0.0.1  www.xcode.info
127.0.0.1  files.xeol.net
127.0.0.1  pr.xeol.net
# [BONZI][Adware.Bonzi]
127.0.0.1  download.bonzi.com
127.0.0.1  images.bonzi.com
127.0.0.1  www.bonzi.com
127.0.0.1  www.bonzibuddy.com
# [BraveNet][Tracking Service][IE-SpyAd]
127.0.0.1  bravenet.com
127.0.0.1  adserv.bravenet.com
127.0.0.1  images.bravenet.com
127.0.0.1  linktrack.bravenet.com
127.0.0.1  pub1.bravenet.com
127.0.0.1  www.bravenet.com
# [BruggeNet][Trojan.Adclicker]
127.0.0.1  belgiandip.com #[ITS Protocol exploit]
127.0.0.1  www.belgiandip.com
127.0.0.1  www.illtemperedguppys.com
127.0.0.1  www.no-beba-el-agua.com
127.0.0.1  smokeandapancake.org #[Adware.Winpup][server down?]
127.0.0.1  www.smokeandapancake.org #[AdClicker-O][Troj/Psyme-C]
127.0.0.1  www.undergroundlair.net #[Troj/AdClick-N]
127.0.0.1  www2.undergroundlair.net
127.0.0.1  www.00z70az77mnsa-00swj1zzprh.com #[www2.undergroundlair.net]
127.0.0.1  www.funcionamiento-con-la-tijera.com #[undergroundlair.net]
127.0.0.1  www.pshnw6510990nmo-34nue7700.net
# [BUDS Inc. Ad Network][IE-SpyAd]
127.0.0.1  show.budsinc.com
127.0.0.1  www.budsinc.com
127.0.0.1  iwebtunes.com
127.0.0.1  www.iwebtunes.com
# [BurstMedia][Tracking Service][IE-SpyAd]
127.0.0.1  burstmedia.com
127.0.0.1  web.burstmedia.com
127.0.0.1  roscoe.burstmedia.com
127.0.0.1  ads.burstnet.com
127.0.0.1  gifs.burstnet.com
127.0.0.1  sj.burstnet.com
127.0.0.1  te.burstnet.com
127.0.0.1  text.burstnet.com
127.0.0.1  www.burstnet.com
127.0.0.1  www2.burstnet.com
127.0.0.1  www3.burstnet.com
127.0.0.1  www4.burstnet.com
127.0.0.1  www5.burstnet.com
127.0.0.1  www6.burstnet.com
127.0.0.1  www.burstnet.akadns.net
# [Casale Media][Comspec Communications][IE-SpyAd]
127.0.0.1  00fun.com
127.0.0.1  www.00fun.com
127.0.0.1  casalemedia.com
127.0.0.1  as.casalemedia.com
127.0.0.1  asg01.casalemedia.com
127.0.0.1  asg02.casalemedia.com
127.0.0.1  asg03.casalemedia.com
127.0.0.1  asg04.casalemedia.com
127.0.0.1  asg05.casalemedia.com
127.0.0.1  asg06.casalemedia.com
127.0.0.1  asg07.casalemedia.com
127.0.0.1  asg08.casalemedia.com
127.0.0.1  asg09.casalemedia.com
127.0.0.1  asg10.casalemedia.com
127.0.0.1  asg11.casalemedia.com
127.0.0.1  asg12.casalemedia.com
127.0.0.1  asg13.casalemedia.com
127.0.0.1  asg14.casalemedia.com
127.0.0.1  asg15.casalemedia.com
127.0.0.1  asg16.casalemedia.com
127.0.0.1  asg17.casalemedia.com
127.0.0.1  asg18.casalemedia.com
127.0.0.1  asg19.casalemedia.com
127.0.0.1  asg20.casalemedia.com
127.0.0.1  asg21.casalemedia.com
127.0.0.1  asg22.casalemedia.com
127.0.0.1  asg23.casalemedia.com
127.0.0.1  asg24.casalemedia.com
127.0.0.1  asg25.casalemedia.com
127.0.0.1  asg26.casalemedia.com
127.0.0.1  asg27.casalemedia.com
127.0.0.1  asg28.casalemedia.com
127.0.0.1  asg29.casalemedia.com
127.0.0.1  asg30.casalemedia.com
127.0.0.1  asg31.casalemedia.com
127.0.0.1  asg32.casalemedia.com
127.0.0.1  asg33.casalemedia.com
127.0.0.1  asg34.casalemedia.com
127.0.0.1  asg35.casalemedia.com
127.0.0.1  asg36.casalemedia.com
127.0.0.1  asg37.casalemedia.com
127.0.0.1  asg38.casalemedia.com
127.0.0.1  asg39.casalemedia.com
127.0.0.1  asg40.casalemedia.com
127.0.0.1  asg41.casalemedia.com
127.0.0.1  asg42.casalemedia.com
127.0.0.1  asg43.casalemedia.com
127.0.0.1  asg44.casalemedia.com
127.0.0.1  asg45.casalemedia.com
127.0.0.1  asg46.casalemedia.com
127.0.0.1  asg47.casalemedia.com
127.0.0.1  asg48.casalemedia.com
127.0.0.1  asg49.casalemedia.com
127.0.0.1  asg50.casalemedia.com
127.0.0.1  asg51.casalemedia.com
127.0.0.1  asg52.casalemedia.com
127.0.0.1  aslg01.casalemedia.com
127.0.0.1  aslg02.casalemedia.com
127.0.0.1  aslg03.casalemedia.com
127.0.0.1  aslg04.casalemedia.com
127.0.0.1  aslg05.casalemedia.com
127.0.0.1  aslg06.casalemedia.com
127.0.0.1  aslg07.casalemedia.com
127.0.0.1  aslg08.casalemedia.com
127.0.0.1  aslg09.casalemedia.com
127.0.0.1  aslg10.casalemedia.com
127.0.0.1  c.casalemedia.com
127.0.0.1  i.casalemedia.com
127.0.0.1  is.casalemedia.com
127.0.0.1  isg01.casalemedia.com
127.0.0.1  isg02.casalemedia.com
127.0.0.1  isg03.casalemedia.com
127.0.0.1  isg04.casalemedia.com
127.0.0.1  isg05.casalemedia.com
127.0.0.1  isg06.casalemedia.com
127.0.0.1  isg07.casalemedia.com
127.0.0.1  isg08.casalemedia.com
127.0.0.1  isg09.casalemedia.com
127.0.0.1  isg10.casalemedia.com
127.0.0.1  r.casalemedia.com
127.0.0.1  www.casalemedia.com
127.0.0.1  www.spywarestormer.com #[CInstall Class][Zoombar Object][Rogue/Suspect]
# [c2 Media Ltd][Download.Adware.Lop][C2.lop]
127.0.0.1  aavc.com
127.0.0.1  active-max.com
127.0.0.1  search.active-max.com
127.0.0.1  www.active-max.com
127.0.0.1  allaboutsearching.com
127.0.0.1  www.allaboutsearching.com
127.0.0.1  amazingautossearch.com
127.0.0.1  www.amazingautossearch.com
127.0.0.1  contexualsearch.com
127.0.0.1  www.contexualsearch.com
127.0.0.1  www.dialup2.com
127.0.0.1  ecpm.com
127.0.0.1  www.ecpm.com
127.0.0.1  find-quick.com
127.0.0.1  www.find-quick.com
127.0.0.1  look-today.com
127.0.0.1  www.look-today.com
127.0.0.1  lop.com
127.0.0.1  ao.lop.com
127.0.0.1  ayb.lop.com
127.0.0.1  bins.lop.com
127.0.0.1  k17177.bins.lop.com
127.0.0.1  img.lop.com
127.0.0.1  sue.lop.com
127.0.0.1  srch.lop.com #[Parasite.LOP]
127.0.0.1  www1.lop.com
127.0.0.1  www.lop.com
127.0.0.1  maxexp.com
127.0.0.1  www.mp3search.com
127.0.0.1  mysearchnow.com
127.0.0.1  search200.com
127.0.0.1  www.search200.com
127.0.0.1  search.mysearchnow.com
127.0.0.1  www.mysearchnow.com
127.0.0.1  netsearchsoft.com
127.0.0.1  www.netsearchsoft.com
127.0.0.1  omegasearch.com
127.0.0.1  www.omegasearch.com
127.0.0.1  prosearching.com
127.0.0.1  www.prosearching.com
127.0.0.1  www.rub.to
127.0.0.1  sbvr.com
127.0.0.1  www.sbvr.com
127.0.0.1  searchexe.com
127.0.0.1  www.searchexe.com
127.0.0.1  searchweb2.com
127.0.0.1  www.searchweb2.com
127.0.0.1  spawnet.com
127.0.0.1  www.spawnet.com
127.0.0.1  tdmy.com #[TrojanDownloader.Win32.Swizzor.h]
127.0.0.1  tefs.com
127.0.0.1  tfil.com
127.0.0.1  www.tfil.com
127.0.0.1  tdko.com
127.0.0.1  www.tdko.com
127.0.0.1  wfix.com #[super-spider.com]
# [CA Web Designs][Tracking Service][IE-SpyAd]
127.0.0.1  clickxchange.com
127.0.0.1  caweb1.clickxchange.com
127.0.0.1  caweb2.clickxchange.com
127.0.0.1  www.clickxchange.com
# [CDT Inc][180solutions][NetVision][Parasite.ISTbar]
127.0.0.1  public.americandaytrading.com
127.0.0.1  blazefind.com #[IE SearchBar][Adware.CDT]
127.0.0.1  findwhatevernow.blazefind.com
127.0.0.1  omniscient.blazefind.com #[TROJ_BLAZEFIND.A]
127.0.0.1  xml.blazefind.com
127.0.0.1  www.blazefind.com #[Adware.BlazeFind.B]
127.0.0.1  cdtnet.net
127.0.0.1  anne.cdtnet.net
127.0.0.1  caroline.cdtnet.net
127.0.0.1  flingstone.com #[TROJ_WINFAVS.A]
127.0.0.1  *.flingstone.com
127.0.0.1  redirect.flingstone.com
127.0.0.1  static.flingstone.com #[brdg Class]
127.0.0.1  www.flingstone.com #[Adware.WinFavorites.B]
127.0.0.1  www2.flingstone.com #[brdg Class][Win32/Bryss.Spy.Trojan]
127.0.0.1  homepagecash.com
127.0.0.1  www.homepagecash.com
127.0.0.1  loudcash.com
127.0.0.1  partners.loudcash.com
127.0.0.1  www.loudcash.com
127.0.0.1  madecards.com
127.0.0.1  www.madecards.com
127.0.0.1  www.radiopranks.com
127.0.0.1  searchbarcash.com #[Downloader.Small.5.Y]
127.0.0.1  *.searchbarcash.com
127.0.0.1  public.searchbarcash.com #[WinFavorites][DownloadUL Class]
127.0.0.1  www.searchbarcash.com #[Parasite.TinyBar]
127.0.0.1  searchbrowser.com
127.0.0.1  findwhatevernow.searchbrowser.com
127.0.0.1  skoobidoo.com
127.0.0.1  www.skoobidoo.com
127.0.0.1  www2.skoobidoo.com #[Downloader.MSCache]
127.0.0.1  www.starpranks.com
127.0.0.1  winadclient.com
127.0.0.1  www.winadclient.com
127.0.0.1  windowssr.com
127.0.0.1  windupdates.com
127.0.0.1  *.windupdates.com
127.0.0.1  public.windupdates.com #[Windows SyncroAd]
127.0.0.1  static.windupdates.com #[ADW_WUPD.F]
127.0.0.1  www.windupdates.com #[AdvWare.WinAD]
127.0.0.1  counterstrike.server.us #[Downloader.CDT]
# [Chunkybreakfast]
127.0.0.1  er.errorplace.com
127.0.0.1  www.errorplace.com #[Parasite.SearchSprint][suspended]
127.0.0.1  www.media-motor.com
127.0.0.1  bins2.media-motor.net #[TROJ_VB.DO]
127.0.0.1  cabs.media-motor.net #[IObjSafety.DemoCtl]
127.0.0.1  logs.media-motor.net
127.0.0.1  mmm.media-motor.net #[Adware.Popuppers]
127.0.0.1  www.media-motor.net
127.0.0.1  tar.popuppers.com #[Adware.Medload]
127.0.0.1  www.popuppers.com #[Adware.Roimoi][SULoads.popuppers]
127.0.0.1  bins.roings.com #[jimmyloader.jimmyform]
127.0.0.1  cabs.roings.com #[IObjSafety.DemoCtl]
127.0.0.1  logs.roings.com
127.0.0.1  mmm.roings.com #[limmyloding.limmyform]
127.0.0.1  www.roings.com #[Roings Search Enhancment]
# [CJB Management][Backdoor.Ptsnoop]
127.0.0.1  bannerexchange.cjb.net
127.0.0.1  coder3862004.cjb.net #[Trojan.Bansap]
127.0.0.1  dialer.cjb.net #[TIBSLoader Class]
127.0.0.1  ads.cjbmanagement.com #[windupdates.com]
127.0.0.1  searchwww.com
127.0.0.1  search.searchwww.com #[Parasite.SearchWWW]
127.0.0.1  vbs.searchwww.com
127.0.0.1  www.searchwww.com
# [Click Enterprises]
127.0.0.1  dafinder.com
127.0.0.1  www3.dafinder.com
127.0.0.1  ourlinklist.com
127.0.0.1  searchaccurate.com #[Parasite.TinyBar]
127.0.0.1  www.searchaccurate.com
# [CNN\Time Warner\AOL]
127.0.0.1  ads.web.aol.com
127.0.0.1  affiliate.aol.com
127.0.0.1  aim.aol.com
127.0.0.1  dynamic.aol.com
127.0.0.1  free.aol.com
127.0.0.1  ar.atwola.com #[causes problems at netscape.com?]
127.0.0.1  pr.atwola.com
127.0.0.1  ads.newline.aol.com
127.0.0.1  adremote.pathfinder.com
127.0.0.1  adremote.timeinc.net
127.0.0.1  aolwpnscom.112.2o7.net
127.0.0.1  aolwpnswhatsnew.112.2o7.net
# [CNET.COM][Ad Servers]
127.0.0.1  adimg.cnet.com
127.0.0.1  remotead-internal.cnet.com
127.0.0.1  remotead.cnet.com
127.0.0.1  ads.com.com
127.0.0.1  adimg.com.com
127.0.0.1  adlog.com.com
# [Commission Junction][Tracking Service][IE-SpyAd]
127.0.0.1  www.afcyhf.com
127.0.0.1  www.anrdoezrs.net
127.0.0.1  apmebf.com
127.0.0.1  www.apmebf.com
127.0.0.1  www.awltovhc.com
127.0.0.1  cj.com
127.0.0.1  www.cj.com
127.0.0.1  www.commission-junction.com
127.0.0.1  www.dpbolvw.net
127.0.0.1  www.ftjcfx.com
127.0.0.1  www.jdoqocy.com
127.0.0.1  www.kqzyfj.com
127.0.0.1  www.lduhtrp.net
127.0.0.1  qksrv.com
127.0.0.1  www.qksrv.net
127.0.0.1  www.qksz.net
127.0.0.1  www.tkqlhce.com
127.0.0.1  www.tqlkg.com
127.0.0.1  www.yceml.net
# [CommonName Limited][Adware.CommonName][Parasite.CommonName]
127.0.0.1  commonname.com
127.0.0.1  www.commonname.com #[AdWare.CommonName.l]
127.0.0.1  commonnames.com
127.0.0.1  www.commonnames.com
127.0.0.1  g3ads.com
127.0.0.1  www.g3ads.com
127.0.0.1  trafficexplorer.com
127.0.0.1  www.trafficexplorer.com #[AdWare.CommonName.g]
127.0.0.1  xpsn.com
127.0.0.1  www.xpsn.com
# [Coolsavings, Inc][Conducent TimeSink][Coolsavings Coupon Manager]
127.0.0.1  img10.coolsavings.com
127.0.0.1  mn104.coolsavings.com
127.0.0.1  www101.coolsavings.com
127.0.0.1  www102.coolsavings.com #[IE-SpyAd]
127.0.0.1  www105.coolsavings.com
127.0.0.1  www108.coolsavings.com
127.0.0.1  www109.coolsavings.com
127.0.0.1  www112.coolsavings.com #[CMV5 Class]
127.0.0.1  www113.coolsavings.com
# [Coolwebsearch.com and affiliates]
# [InterWeb Solutions][IE-SpyAd]
127.0.0.1  coolwebsearch.com
127.0.0.1  stats.coolwebsearch.com
127.0.0.1  www.coolwebsearch.com #[CWS/IEFeats]
# [Major Affiliates]
127.0.0.1  1-se.com #[CWS.Aboutblank][W32.Tuoba.Trojan]
127.0.0.1  www.1-se.com #[VBS.Startpage.C]
127.0.0.1  1stpagehere.com
127.0.0.1  www.1stpagehere.com
127.0.0.1  www.31234.com #[CWS.Msconfig]
127.0.0.1  adulthyperlinks.com #[Parasite.CoolWebSearch]
127.0.0.1  www.adulthyperlinks.com
127.0.0.1  acc.count-all.com #[CWS.Tapicfg]
127.0.0.1  allhyperlinks.com #[CWS.DNSRelay]
127.0.0.1  www.allhyperlinks.com #[CWS.OSLogo][CWS.Oemsyspnp]
127.0.0.1  allneedsearch.com #[TROJ_STARTPAGE.B][find-itnow.com]
127.0.0.1  approvedlinks.com #[super-spider.com]
127.0.0.1  autosearch.cc
127.0.0.1  bestsearch.cc
127.0.0.1  best-search.us
127.0.0.1  bestsearch.name #[awmdabest.com]
127.0.0.1  www.bestsearch.name
127.0.0.1  bigbr.cc
127.0.0.1  cashsearch.biz #[Troj/StartPa-HO]
127.0.0.1  www.coolfreehost.com
127.0.0.1  coolsearcher.net #[Troj/DownLdr-FC]
127.0.0.1  www.crooder.com
127.0.0.1  dappc.com #[Troj/Agent-IW]
127.0.0.1  defaultsearching.com #[CWS.Sounddrv][searchmeup.com]
127.0.0.1  drusearch.com #[Download.Ject.B][VBS/StartPa-DN]
127.0.0.1  allways.drusearch.com #[Adware.Drusearch]
127.0.0.1  www.drusearch.com
127.0.0.1  drvvv.com
127.0.0.1  easysearch.cc
127.0.0.1  www.easysearch.cc
127.0.0.1  enjoysearch.info #[CWS.Xxxvideo]
127.0.0.1  www.enjoysearch.info
127.0.0.1  e-plus.cc #[Adware.WorldSearch]
127.0.0.1  www.e-plus.cc
127.0.0.1  prx.freecj.com #[MHTMLRedir.Exploit]
127.0.0.1  www.findin.org
127.0.0.1  findloss.com #[umaxsearch.com]
127.0.0.1  www.findloss.com
127.0.0.1  www.find-everything.com
127.0.0.1  find-online.net #[TROJ_STARTPAG.GY]
127.0.0.1  www.find-online.net #[Troj/StartPa-AI]
127.0.0.1  www.find-more.net
127.0.0.1  firstbookmark.com #[Parasite.ClientMan]
127.0.0.1  www.firstbookmark.com
127.0.0.1  freepage.ws
127.0.0.1  www.geo-traffic.com #[redirects to search.msmn.com]
127.0.0.1  globe-finder.cc #[Win32.Startpage.N]
127.0.0.1  utruuh.globe-finder.cc
127.0.0.1  globe-finder.net #[clearsearch.net]
127.0.0.1  www.globe-finder.net
127.0.0.1  global-finder.com #[CWS.Msinfo]
127.0.0.1  www.global-finder.com
127.0.0.1  gonnasearch.com #[CWS.Gonnasearch]
127.0.0.1  www.gonnasearch.com #[supaseek.com]
127.0.0.1  huyator.biz
127.0.0.1  idgsearch.com #[GoogleMS Search Helper][CWS.Googlems]
127.0.0.1  www.idgsearch.com #[Trojan.Digits]
127.0.0.1  icansearch.net
127.0.0.1  www.icansearch.net
127.0.0.1  www.i-search.us
127.0.0.1  www.internet-search.info
127.0.0.1  itseasy.us #[Galorion]
127.0.0.1  likesurfing.com
127.0.0.1  www.likesurfing.com
127.0.0.1  luckysearch.net #[CWS.Tapicfg]
127.0.0.1  www.luckysearch.net
127.0.0.1  lustler.com
127.0.0.1  www.lustler.com
127.0.0.1  makechoice.com
127.0.0.1  www.makechoice.com #[MHTMLRedir.Exploit]
127.0.0.1  martfinder.com #[Adware.StartPage][Troj/StartPa-GH]
127.0.0.1  www.martfinder.com
127.0.0.1  morefinders.com #[MHTMLRedir.Exploit]
127.0.0.1  www.ms-search.com #[Norman Sandbox]
127.0.0.1  404.msmn.com
127.0.0.1  search.msmn.com
127.0.0.1  gotosearch.msmn.com
127.0.0.1  myexexex.com #[CWS.Jsconsole]
127.0.0.1  www.myexexex.com #[StartPage-EC]
127.0.0.1  www.myhandysearch.com
127.0.0.1  www.mywebsearch.net
127.0.0.1  nyam-nyam.biz
127.0.0.1  ntsearch.com #[MHTMLRedir.Exploit]
127.0.0.1  www.ntsearch.com #[Trojan.Win32.Spooner.d][Adware-NSearch]
127.0.0.1  othersearch.com #[Parasite.Tubby]
127.0.0.1  www.othersearch.com
127.0.0.1  payfortraffic.net #[CWS.Dnsrelay.3][CWS.Msole]
127.0.0.1  www.payfortraffic.net
127.0.0.1  www.placeforsearch.com
127.0.0.1  power-search.info #[Trojan.Bookmarker.G]
127.0.0.1  www.power-search.info #[Adware.Olehelp]
127.0.0.1  qck.cc #[Trojan.Downloader.Domcom.A]
127.0.0.1  rdposters.com #[Trojan.Win32.Adex.a]
127.0.0.1  richfind.com
127.0.0.1  www.richfind.com #[Parasite.RichFind]
127.0.0.1  rightfinder.net #[CWS.Addclass.2]
127.0.0.1  www.rightfinder.net #[Troj/StartPg-AY]
127.0.0.1  runsearch.com #[CWS.Mupdate]
127.0.0.1  www.runsearch.com
127.0.0.1  searchcentral.cc
127.0.0.1  searchdesire.com
127.0.0.1  www.search-for-you.com #[Troj/StartPa-IC][searchmeup.com]
127.0.0.1  searchfind.info #[Parasite.RichFind][win32]
127.0.0.1  www.searchmeup.cc
127.0.0.1  www.search-more.net
127.0.0.1  searchpage.cc
127.0.0.1  search-system.com #[Search-SystemPlugin]
127.0.0.1  www.search-system.com #[topsearch10.com]
127.0.0.1  searchtm.cc #[W32/DLoader.GQ]
127.0.0.1  search-town.net #[riviera.cc]
127.0.0.1  www.searchupers.com #[Troj/Clicker-H]
127.0.0.1  searchzoomer.com
127.0.0.1  toolbar.searchzoomer.com
127.0.0.1  www.searchzoomer.com
127.0.0.1  www.smart-security.info #[Trojan-Clicker.Win32.Spywad.b]
127.0.0.1  solongas.com #[CWS.Hputi]
127.0.0.1  speed-search.biz
127.0.0.1  www.speed-search.biz
127.0.0.1  supersearch.com
127.0.0.1  www.supersearch.com #[CWS.Msoffice.3]
127.0.0.1  super-spider.com #[CWS.Control][TROJ_KREPPER.I]
127.0.0.1  t.rack.cc #[TROJ_SEEKER.B]
127.0.0.1  roquvp.t.rack.cc
127.0.0.1  teen-biz.com #[Trojan.Win32.StartPage.bh]
127.0.0.1  thebestsoft4u.com #[W32/DLoader.EO][MHTMLRedir.Exploit]
127.0.0.1  the-exit.com
127.0.0.1  www.the-exit.com
127.0.0.1  www.the-huns-yellow-pages.com
127.0.0.1  thenewsearch.com #[Adware.SearchNew][StartPage-DB]
127.0.0.1  www.thenewsearch.com
127.0.0.1  topfivesearch.com
127.0.0.1  www.topfivesearch.com
127.0.0.1  toteen.com #[Trojan.Bookmarker.G]
127.0.0.1  out.true-counter.com #[Trojan.Bootconf][CWS.Msinfo]
127.0.0.1  true-counter.com #[Trojan.Slog]
127.0.0.1  www.true-counter.com
127.0.0.1  try-this-search.biz
127.0.0.1  v73.us #[Adware.CWSConyc]
127.0.0.1  www.v73.us
127.0.0.1  download.vladzone.com #[TROJ_SMALL.LY]
127.0.0.1  www.waytofind.net #[MHTMLRedir.Exploit]
127.0.0.1  in.webcounter.cc #[CWS.Tapicfg.2][Adware.SearchCounter]
127.0.0.1  rl.webtracer.cc #[globe-finder.cc]
127.0.0.1  www.wholeworldmarket.com #[CWS.Systeminit.2]
127.0.0.1  www.wow-access.com
127.0.0.1  www.xyesearch.com
127.0.0.1  yellow-pages.ws #[searchmeup.com]
127.0.0.1  adult.yellow-pages.ws
127.0.0.1  search.yellow-pages.ws
